track_id,track,album,release_year,artists,popularity,genre,year_range
,Sass,Strummin',2024,Brothers Moving,40,blues,2020-2024
,Walking Back Home,Laughing No More,2023,"Eric Blues, Lost in Blues, Blues Whiskey",39,blues,2020-2024
,"Rain - Live At Red Rocks, 2023","Rain (Live At Red Rocks, 2023)",2023,The Teskey Brothers,34,blues,2020-2024
,My Sweet Hunk O' Trash - Single Version,Louis and Friends,2022,"Louis Armstrong, Billie Holiday, Sy Oliver & His Orchestra",34,blues,2020-2024
,Son of a Broken Man,Son of a Broken Man,2024,Fantastic Negrito,29,blues,2020-2024
,Solamente,Una Más E.P.,2020,Nancarrow,29,blues,2020-2024
,Don't Let Me Go,Ohio Players (Trophy Edition),2024,The Black Keys,34,blues,2020-2024
,Bonnie,Scoundrel,2022,Sam Burchfield,32,blues,2020-2024
,Heaven Help Me,Old Habits,2022,The Deadbeat Cousins,40,blues,2020-2024
,The Way I Am,Restless,2024,The Commoners,36,blues,2020-2024
,Mountain,Those City Lights,2022,Austin Gold,35,blues,2020-2024
,Just to be a Man,Force of Nature,2024,These Wicked Rivers,37,blues,2020-2024
,How Low Can You Go,"The Amogla Sessions, Vol. 1",2022,Floyd Lee & His Mean Blues Band,36,blues,2020-2024
,Clap Yo Hands and Moan,Hold on to Love,2022,Shakura S'Aida,32,blues,2020-2024
,Hound Dog,ELVIS (Original Motion Picture Soundtrack),2022,Shonka Dukureh,36,blues,2020-2024
,South Wind Blows,In the Name of the Blues,2024,Eva Carboni,34,blues,2020-2024
,Midnight Healing,Smooth Blues Music: Whiskey Blues,2024,Chilled Blues,40,blues,2020-2024
,Save My Soul,Save My Soul,2023,"Gary Tunes, Eric Blues, Red Whiskey, Ricardo Tunes",39,blues,2020-2024
,Real Gone,Real Gone,2023,Ally Venable,35,blues,2020-2024
,Make Me Feel Alright,Sharecropper's Son,2021,Robert Finley,32,blues,2020-2024
,Scars,Smith/Kotzen,2021,"Smith/Kotzen, Adrian Smith, Richie Kotzen",36,blues,2020-2024
,Keepin On,Keepin On,2023,"Lost in Blues, Sime Tunes, Blues Whiskey, Night Tunes",39,blues,2020-2024
