track_id,track,album,release_year,artists,popularity,genre,year_range
,IDWT$,THE DEATH OF PEACE OF MIND,2022,Bad Omens,57,metal,2020-2024
,Fly Away,Fly Away,2022,Gloryhammer,51,metal,2020-2024
,The Struggle Within - Remastered 2021,Metallica (Remastered 2021),2021,Metallica,50,metal,2020-2024
,Better Days,The Way It Ends,2020,Currents,61,metal,2020-2024
,"Foregone, Pt. 2",Foregone,2023,In Flames,53,metal,2020-2024
,Lost in a Wave,Lost in the Waves,2021,LANDMVRKS,58,metal,2020-2024
,Viral,Manifest,2020,Amaranthe,53,metal,2020-2024
,Yellowjacket - feat. Sam Carter,Eternal Blue,2021,"Spiritbox, Sam Carter",59,metal,2020-2024
,Out Of Style,STILL SUCKS,2021,Limp Bizkit,55,metal,2020-2024
,Presence of Mind,The Dark Delight,2020,Dynazty,53,metal,2020-2024
,Nothing Else Matters - Live,S&M2,2020,"Metallica, San Francisco Symphony",45,metal,2020-2024
,When The Darkness Comes,Dragonborn,2024,Jeris Johnson,59,metal,2020-2024
,Put Your Back Into The Oar,Put Your Back Into The Oar,2022,Amon Amarth,54,metal,2020-2024
,Darwinism,Exhibition Of Prowess,2024,Kublai Khan TX,60,metal,2020-2024
,DYWTYLM,Take Me Back To Eden,2023,Sleep Token,63,metal,2020-2024
,Shadows Follow,72 Seasons,2023,Metallica,51,metal,2020-2024
,Metal United,Metal United,2021,Majestica,51,metal,2020-2024
,Daggers,Darkbloom,2022,"We Came As Romans, Zero 9:36",58,metal,2020-2024
,Shadowminds,Days Of The Lost,2022,The Halo Effect,51,metal,2020-2024
,Abyss of Time - Countdown to Singularity -,Omega,2021,Epica,50,metal,2020-2024
,One of Those Days (feat. Eric Clapton),Patient Number 9,2022,"Ozzy Osbourne, Eric Clapton",54,metal,2020-2024
,Eye of the Storm,Circus Of Doom,2022,Battle Beast,49,metal,2020-2024
,Don't Tell Me (feat. Ann Wilson),Divisive,2023,"Disturbed, Ann Wilson",57,metal,2020-2024
,Fearless,Manifest,2020,Amaranthe,52,metal,2020-2024
,deep fake,the classic symptoms of a broken spirit,2022,Architects,55,metal,2020-2024
,Antimatter,SUPERBLOOM,2023,Silent Planet,60,metal,2020-2024
,The Black,The Black,2024,Imminence,56,metal,2020-2024
,Teardrops,Teardrops,2020,Bring Me The Horizon,57,metal,2020-2024
,Fall For Me,This Place Will Become Your Tomb,2021,Sleep Token,63,metal,2020-2024
,Remember Me,The Death We Seek,2023,Currents,60,metal,2020-2024
,Dangerous Ground,H.E.A.T II,2020,H.E.A.T,43,metal,2020-2024
,Darker Still,Darker Still,2022,Parkway Drive,51,metal,2020-2024
,Blade Runner,Dark Connection,2021,Beast In Black,50,metal,2020-2024
,Waterfall,The Dark Delight,2020,Dynazty,50,metal,2020-2024
,Njord,Emblas Saga,2020,Brothers of Metal,51,metal,2020-2024
,What do you want from me?,THE DEATH OF PEACE OF MIND,2022,Bad Omens,56,metal,2020-2024
,Temptation,Heaven in Hiding,2021,Imminence,56,metal,2020-2024
,As Sick As The Secrets Within,One Assassination Under God - Chapter 1,2024,Marilyn Manson,50,metal,2020-2024
,Self-Destruction,TRUE POWER,2022,I Prevail,61,metal,2020-2024
,Meine Tränen,Zeit,2022,Rammstein,56,metal,2020-2024
,Schwarz,Zeit,2022,Rammstein,54,metal,2020-2024
,Miracle,THE DEATH OF PEACE OF MIND,2022,Bad Omens,57,metal,2020-2024
,Götterdämmerung,Zeal & Ardor,2022,Zeal & Ardor,51,metal,2020-2024
,Darkbloom,Darkbloom,2022,We Came As Romans,58,metal,2020-2024
,Rainy Day,Welcome To Horrorwood: The Silver Scream 2,2021,Ice Nine Kills,60,metal,2020-2024
,Panic Attack,Invincible Shield (Deluxe Edition),2024,Judas Priest,47,metal,2020-2024
,Choke,Cannibal,2020,Bury Tomorrow,55,metal,2020-2024
,"Dear Diary,",POST HUMAN: SURVIVAL HORROR,2020,Bring Me The Horizon,55,metal,2020-2024
,NOTHING IS FOREVER,NOTHING IS FOREVER,2023,HAARPER,63,metal,2020-2024
,Of the Abyss,...And I Return To Nothingness - EP,2021,Lorna Shore,58,metal,2020-2024
,All of This Is Fleeting,The Death of Me,2020,Polaris,57,metal,2020-2024
,Black Lungs,For Those That Wish To Exist,2021,Architects,55,metal,2020-2024
,BRAVE NEW WORLD,BRAVE NEW WORLD,2024,STARSET,56,metal,2020-2024
,Plagued,Darkbloom,2022,We Came As Romans,58,metal,2020-2024
,Handshake with Hell,Deceivers,2022,Arch Enemy,50,metal,2020-2024
,Ground Zero,Darker Still,2022,Parkway Drive,51,metal,2020-2024
,Unstoppable,Divisive,2023,Disturbed,55,metal,2020-2024
,Bella Donna,Dark Connection,2021,Beast In Black,50,metal,2020-2024
,LIKE YXU WXULD KNXW (AUTUMN TREES),PSYCHX,2022,"Kordhell, Scarlxrd, CORPSE",57,metal,2020-2024
,One Of Us,Hard Reset,2023,"The Word Alive, Bad Omens",55,metal,2020-2024
