track,album,release_year,artists,popularity,genre
Master of Puppets,"Stranger Things: Soundtrack from the Netflix Series, Season 4",2022,Metallica,57,metal
Adieu,Zeit,2022,Rammstein,59,metal
Power Of The Beast,Power Of The Beast,2024,Beast In Black,52,metal
A Work of Art,A Work of Art (feat. Shavo of System of a Down),2024,"Ice Nine Kills, SHAVO",64,metal
Forgotten,Vol. 1,2024,The Plot In You,66,metal
"Turn It Up, Bitch",STILL SUCKS,2021,Limp Bizkit,60,metal
Euclid,Take Me Back To Eden,2023,Sleep Token,66,metal
Genocidal Humanoidz,Protect The Land / Genocidal Humanoidz,2020,System Of A Down,59,metal
sTraNgeRs,POST HUMAN: NeX GEn,2024,Bring Me The Horizon,61,metal
21 Gun Salute,Shame On Me,2023,Catch Your Breath,65,metal
Hellraiser - 30th Anniversary Edition,Hellraiser (30th Anniversary Edition),2021,"Ozzy Osbourne, Lemmy, Motörhead",59,metal
Lost in Echoes,Lost Souls,2021,Caskets,62,metal
Kaunaz Dagaz,Emblas Saga,2020,Brothers of Metal,56,metal
when we were young,the classic symptoms of a broken spirit,2022,Architects,59,metal
Hunter’s Moon,IMPERA,2022,Ghost,59,metal
Take Me First,THE DEATH OF PEACE OF MIND,2022,Bad Omens,63,metal
Ascensionism,Take Me Back To Eden,2023,Sleep Token,67,metal
AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw),POST HUMAN: NeX GEn,2024,"Bring Me The Horizon, Lil Uzi Vert, Daryl Palumbo, Glassjaw",59,metal
YOUtopia,POST HUMAN: NeX GEn,2024,Bring Me The Horizon,61,metal
The Dirt I'm Buried In,Dance Devil Dance,2023,Avatar,58,metal
Welcome To The Circus,AfterLife,2022,Five Finger Death Punch,64,metal
Days Of Future Past,Senjutsu,2021,Iron Maiden,51,metal
Memento Mori,Lamb of God,2020,Lamb of God,57,metal
Moonlight Rendezvous,Dark Connection,2021,Beast In Black,55,metal
Amazonia,Fortitude,2021,Gojira,59,metal
Of Wolf and Man - Remastered 2021,Metallica (Remastered 2021),2021,Metallica,56,metal
Awaken,Awaken,2024,Breaking Benjamin,66,metal
Through the Never - Remastered 2021,Metallica (Remastered 2021),2021,Metallica,56,metal
Out Of Control,The Reason (20th Anniversary),2024,Hoobastank,61,metal
Archangel,Manifest,2020,Amaranthe,57,metal
Griftwood,IMPERA,2022,Ghost,59,metal
Voices In My Head,Voices In My Head,2022,Falling In Reverse,63,metal
Hellraiser - 30th Anniversary Edition,No More Tears (30th Anniversary Expanded Edition),2021,"Ozzy Osbourne, Lemmy, Motörhead",58,metal
Cyberhex,Scoring The End Of The World,2022,"Motionless In White, Lindsay Schoolcraft",59,metal
Dad Vibes,STILL SUCKS,2021,Limp Bizkit,58,metal
Holy Roller,Eternal Blue,2021,Spiritbox,60,metal
We’ll Be Back,"The Sick, The Dying… And The Dead!",2022,Megadeth,53,metal
The Love You Want,This Place Will Become Your Tomb,2021,Sleep Token,64,metal
Dancing with the Dead,Call of the Wild (Deluxe Version),2021,Powerwolf,53,metal
Kool-Aid,Kool-Aid,2024,Bring Me The Horizon,59,metal
Dissipate,Fatalism,2023,Polaris,58,metal
Defence of Moscow,Defence of Moscow,2021,Sabaton,55,metal
Ohms,Ohms,2020,Deftones,62,metal
Behelit,Behelit,2024,Slaughter to Prevail,57,metal
MISA MISA!,MISA MISA!,2022,"CORPSE, Scarlxrd, Kordhell",61,metal
Another World,Fortitude,2021,Gojira,56,metal
Make Believe,Remade In Misery,2022,Memphis May Fire,61,metal
on the verge,EXCESSIVE GUILT,2024,thrown,61,metal
Resentment,You're Welcome,2021,A Day To Remember,62,metal
LosT,LosT,2023,Bring Me The Horizon,61,metal
Neon Grave,Dark Sun,2022,Dayseeker,64,metal
To the Hellfire,To the Hellfire,2021,Lorna Shore,62,metal
No More Tears,No More Tears (30th Anniversary Expanded Edition),2021,Ozzy Osbourne,61,metal
Last Resort (Reloaded),Last Resort (Reloaded),2021,"Papa Roach, Jeris Johnson",63,metal
The End of All We Know,Fracture,2020,Bleed From Within,53,metal
sTraNgeRs,sTraNgeRs,2022,Bring Me The Horizon,60,metal
Fight Fire With Gasoline,You Are Only As Sick As Your Secrets,2023,Self Deception,58,metal
Patient Number 9 (feat. Jeff Beck),Patient Number 9,2022,"Ozzy Osbourne, Jeff Beck",57,metal
Dance Devil Dance,Dance Devil Dance,2023,Avatar,52,metal
My Friend of Misery - Remastered 2021,Metallica (Remastered 2021),2021,Metallica,54,metal
Parasite Eve,Parasite Eve,2020,Bring Me The Horizon,56,metal
The God That Failed - Remastered 2021,Metallica (Remastered 2021),2021,Metallica,55,metal
Impermanence,For Those That Wish To Exist,2021,"Architects, Winston McCall",57,metal
SLEEPS SOCIETY,SLEEPS SOCIETY,2021,While She Sleeps,54,metal
Soul Bleach,Darker Still,2022,Parkway Drive,53,metal
The Unkillable Soldier,The War to End All Wars,2022,Sabaton,55,metal
Stratego,Senjutsu,2021,Iron Maiden,48,metal
Drowned in Emotion,Lost Souls,2021,Caskets,59,metal
If Darkness Had a Son,72 Seasons,2023,Metallica,51,metal
What It Cost,THE DEATH OF PEACE OF MIND,2022,Bad Omens,59,metal
Wings of Light,Circus Of Doom,2022,Battle Beast,51,metal
The Unforgiven - Remastered 2021,Metallica (Remastered Deluxe Box Set),2021,Metallica,55,metal
Enter Sandman - Remastered 2021,Metallica (Remastered 2021),2021,Metallica,54,metal
Live or Die (feat. Joakim Brodén),Live Or Die (feat. Joakim Brodén),2020,"Apocalyptica, Sabaton, Joakim Brodén",56,metal
Catastrophist,What The Dead Men Say,2020,Trivium,55,metal
The Emptiness Machine,Heavy Is the Crown,2024,Linkin Park,53,metal
Mine,This Place Will Become Your Tomb,2021,Sleep Token,64,metal
Ride of the Valkyries,Emblas Saga,2020,Brothers of Metal,55,metal
82nd All the Way,Manifest (Bonus Version),2022,Amaranthe,54,metal
Becoming,Servant Of The Mind (Deluxe),2021,Volbeat,55,metal
Sainted by the Storm,Interludium (Deluxe Version),2023,Powerwolf,54,metal
Kaisarion,IMPERA,2022,Ghost,57,metal
Master of Illusion,Circus Of Doom,2022,Battle Beast,53,metal
Remember Me,The Death We Seek,2023,Currents,59,metal
Meine Tränen,Zeit,2022,Rammstein,55,metal
Fall For Me,This Place Will Become Your Tomb,2021,Sleep Token,63,metal
The Black,The Black,2024,Imminence,56,metal
Teardrops,Teardrops,2020,Bring Me The Horizon,57,metal
DYWTYLM,Take Me Back To Eden,2023,Sleep Token,63,metal
What do you want from me?,THE DEATH OF PEACE OF MIND,2022,Bad Omens,56,metal
Don't Tell Me (feat. Ann Wilson),Divisive,2023,"Disturbed, Ann Wilson",56,metal
Out Of Style,STILL SUCKS,2021,Limp Bizkit,55,metal
Lost in a Wave,Lost in the Waves,2021,LANDMVRKS,58,metal
Nothing Else Matters - Live,S&M2,2020,"Metallica, San Francisco Symphony",45,metal
Darwinism,Exhibition Of Prowess,2024,Kublai Khan TX,60,metal
Lady of the Dark,The War to End All Wars,2022,Sabaton,55,metal
Insanely Illegal Cage Fight,Insanely Illegal Cage Fight,2023,"Dal Av, Jackson Rose",60,metal
Dangerous Ground,H.E.A.T II,2020,H.E.A.T,42,metal
Shadowminds,Days Of The Lost,2022,The Halo Effect,51,metal
Eye of the Storm,Circus Of Doom,2022,Battle Beast,49,metal
When The Darkness Comes,Dragonborn,2024,Jeris Johnson,58,metal
deep fake,the classic symptoms of a broken spirit,2022,Architects,55,metal
Put Your Back Into The Oar,Put Your Back Into The Oar,2022,Amon Amarth,54,metal
Better Days,The Way It Ends,2020,Currents,61,metal
Fearless,Manifest,2020,Amaranthe,51,metal
Wherever I May Roam - Remastered 2021,Metallica (Remastered Deluxe Box Set),2021,Metallica,54,metal
Daggers,Darkbloom,2022,"We Came As Romans, Zero 9:36",58,metal
Are You Really Okay?,Take Me Back To Eden,2023,Sleep Token,62,metal
Antimatter,SUPERBLOOM,2023,Silent Planet,60,metal
Waterfall,The Dark Delight,2020,Dynazty,50,metal
Lux Æterna,Lux Æterna,2022,Metallica,51,metal
Metal United,Metal United,2021,Majestica,51,metal
"Foregone, Pt. 2",Foregone,2023,In Flames,52,metal
Abyss of Time - Countdown to Singularity -,Omega,2021,Epica,50,metal
Teardrinker,Hushed and Grim,2021,Mastodon,54,metal
Shadows Follow,72 Seasons,2023,Metallica,50,metal
Viral,Manifest,2020,Amaranthe,52,metal
Yellowjacket - feat. Sam Carter,Eternal Blue,2021,"Spiritbox, Sam Carter",58,metal
Friendly Fire,Friendly Fire,2024,Linkin Park,57,metal
Noise,HUMAN. :II: NATURE.,2020,Nightwish,53,metal
Ludens,POST HUMAN: SURVIVAL HORROR,2020,Bring Me The Horizon,56,metal
Raise The Red Flag,One Assassination Under God - Chapter 1,2024,Marilyn Manson,51,metal
Presence of Mind,The Dark Delight,2020,Dynazty,53,metal
AFRAID TO DIE,VERITAS,2024,"P.O.D., Tatiana Shmayluk, Jinjer",54,metal
Dead Talk,What If I Break?,2023,Wind Walkers,62,metal
IDWT$,THE DEATH OF PEACE OF MIND,2022,Bad Omens,57,metal
Natural Born Killer,Final Advent,2022,Dynazty,52,metal
Fly Away,Fly Away,2022,Gloryhammer,51,metal
Gimme a Second,Desperate (For) Humanity,2020,Saliva Grey,61,metal
Hate/Love,MMXX - Hypa Hypa Edition,2021,Electric Callboy,55,metal
R.i.p. (duskCOre RemIx),POST HUMAN: NeX GEn,2024,Bring Me The Horizon,56,metal
One Assassination Under God,One Assassination Under God - Chapter 1,2024,Marilyn Manson,51,metal
The Struggle Within - Remastered 2021,Metallica (Remastered 2021),2021,Metallica,50,metal
GIVE ME BRAIN,GIVE ME BRAIN,2022,HAARPER,64,metal
Is It Really You?,Is It Really You?,2022,"Sleep Token, Loathe",61,metal
Of the Abyss,...And I Return To Nothingness - EP,2021,Lorna Shore,58,metal
Blood & Water,Remade In Misery,2022,Memphis May Fire,59,metal
Safe And Sound,Prepare For Despair,2023,"Point North, The Ghost Inside",60,metal
Self-Destruction,TRUE POWER,2022,I Prevail,61,metal
sLeepwAlkeR,sLeepwAlkeR,2024,The Pretty Wild,59,metal
BRAVE NEW WORLD,BRAVE NEW WORLD,2024,STARSET,56,metal
"Pain Remains II: After All I've Done, I'll Disappear",Pain Remains,2022,Lorna Shore,57,metal
Rainy Day,Welcome To Horrorwood: The Silver Scream 2,2021,Ice Nine Kills,60,metal
Manic,Manic,2021,Wage War,60,metal
Temptation,Heaven in Hiding,2021,Imminence,55,metal
Screaming,I Let It in and It Took Everything,2020,Loathe,64,metal
Unstoppable,Divisive,2023,Disturbed,55,metal
Götterdämmerung,Zeal & Ardor,2022,Zeal & Ardor,51,metal
LIKE YXU WXULD KNXW (AUTUMN TREES),PSYCHX,2022,"Kordhell, Scarlxrd, CORPSE",57,metal
DIg It,POST HUMAN: NeX GEn,2024,Bring Me The Horizon,54,metal
Ground Zero,Darker Still,2022,Parkway Drive,51,metal
Dead Butterflies,For Those That Wish To Exist,2021,Architects,54,metal
Race to the Sea,The War to End All Wars,2022,Sabaton,53,metal
One Of Us,Hard Reset,2023,"The Word Alive, Bad Omens",55,metal
Bella Donna,Dark Connection,2021,Beast In Black,50,metal
Kill The Pain Away,A Paranormal Evening with the Moonflower Society,2022,"Avantasia, Floor Jansen",46,metal
The Chapeltown Rag,"The End, So Far",2022,Slipknot,54,metal
Who are you?,THE DEATH OF PEACE OF MIND,2022,Bad Omens,55,metal
Lost Chapter,III: Lost Chapter,2021,"Pentakill, Jorn",49,metal
Inside Out,F8,2020,Five Finger Death Punch,57,metal
Sinners of the Seven Seas,Wake Up The Wicked (Deluxe Version),2024,Powerwolf,49,metal
Sacrilegious,One Assassination Under God - Chapter 1,2024,Marilyn Manson,49,metal
Lügen,Zeit,2022,Rammstein,53,metal
Fellows of the Hammer,Warfront,2022,Wind Rose,50,metal
Hardcore,Dark Connection,2021,Beast In Black,50,metal
Darkbloom,Darkbloom,2022,"We Came As Romans, Brand of Sacrifice",57,metal
All of This Is Fleeting,The Death of Me,2020,Polaris,56,metal
OK,Zeit,2022,Rammstein,53,metal
Choke,Cannibal,2020,Bury Tomorrow,55,metal
Panic Attack,Invincible Shield (Deluxe Edition),2024,Judas Priest,46,metal
MC Thunder II (Dancing Like a Ninja),MMXX - Hypa Hypa Edition,2021,Electric Callboy,51,metal
Handshake with Hell,Deceivers,2022,Arch Enemy,50,metal
"Dear Diary,",POST HUMAN: SURVIVAL HORROR,2020,Bring Me The Horizon,55,metal
Plagued,Darkbloom,2022,We Came As Romans,58,metal
AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw),AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw),2023,"Bring Me The Horizon, Lil Uzi Vert, Daryl Palumbo, Glassjaw",55,metal
Blade Runner,Dark Connection,2021,Beast In Black,49,metal
Black Lungs,For Those That Wish To Exist,2021,Architects,55,metal
Miracle,THE DEATH OF PEACE OF MIND,2022,Bad Omens,57,metal
One of Those Days (feat. Eric Clapton),Patient Number 9,2022,"Ozzy Osbourne, Eric Clapton",53,metal
Darkbloom,Darkbloom,2022,We Came As Romans,57,metal
Schwarz,Zeit,2022,Rammstein,54,metal
Njord,Emblas Saga,2020,Brothers of Metal,51,metal
As Sick As The Secrets Within,One Assassination Under God - Chapter 1,2024,Marilyn Manson,50,metal
High Water,This Place Will Become Your Tomb,2021,Sleep Token,60,metal
Funeral Derangements,Welcome To Horrorwood: The Silver Scream 2,2021,Ice Nine Kills,58,metal
Soft Spine,Soft Spine,2024,Spiritbox,55,metal
Ceremony,Ohms,2020,Deftones,57,metal
Bodybag,What If I Break?,2023,Wind Walkers,61,metal
Dragostea Din Tei,Memento Mori (Deluxe Version),2021,Feuerschwanz,49,metal
#ImSippinTeaInYoHood,LOOK AT ME: THE ALBUM,2022,XXXTENTACION,59,metal
iCARUS,iCARUS,2022,HAARPER,60,metal
Under the Graveyard,Ordinary Man,2020,Ozzy Osbourne,58,metal
One Day The Only Butterflies Left Will Be In Your Chest As You March Towards Your Death (feat. Amy Lee),POST HUMAN: SURVIVAL HORROR,2020,"Bring Me The Horizon, Amy Lee",54,metal
Last Resort - 2020,20/20,2020,Papa Roach,51,metal
VIKING,VIKING,2023,Slaughter to Prevail,54,metal
Ghost Of Me,Make Them Suffer,2024,Make Them Suffer,56,metal
Sad But True - Remastered 2021,Metallica (Remastered 2021),2021,Metallica,50,metal
Together We Rise,Warfront,2022,Wind Rose,49,metal
Masochist,The Death of Me,2020,Polaris,56,metal
Hell On Earth,Senjutsu,2021,Iron Maiden,47,metal
Hate & 808s - DIRTY SOUTH VERSION,Hate & 808s (DIRTY SOUTH VERSION),2024,"fiftyfive, Odiato, Dubich",59,metal
2077,2077,2022,do not resurrect,58,metal
Suffocate,Lost in the Waves (The Complete Edition),2022,"LANDMVRKS, Chunk! No, Captain Chunk!",57,metal
Somebody else.,THE DEATH OF PEACE OF MIND,2022,Bad Omens,55,metal
Usurper,Usurper,2023,"NXCRE, The Villains",59,metal
Powersnake,Emblas Saga,2020,Brothers of Metal,51,metal
World on Fire,Survive,2022,Stratovarius,44,metal
Don’t Look Away,Don't Look Away,2024,The Plot In You,59,metal
All That I Can Give,Vol. 2,2024,The Plot In You,58,metal
Kill the Ache,The Way It Ends,2020,Currents,58,metal
Novocaine,For Keeps,2024,"Too Close To Touch, Bad Omens",54,metal
Invincible Shield,Invincible Shield (Deluxe Edition),2024,Judas Priest,44,metal
Full Circle,F8,2020,Five Finger Death Punch,56,metal
Steel Commanders,Steel Commanders,2021,"Sabaton, Tina Guo",53,metal
1916,Stories From The Western Front,2023,Sabaton,54,metal
"The Sick, The Dying… And The Dead!","The Sick, The Dying… And The Dead!",2022,Megadeth,49,metal
Hey You,Divisive,2023,Disturbed,55,metal
House of Mirrors,Deceivers,2022,Arch Enemy,48,metal
I'll Be Your Hero - Single Edit,I'll Be Your Hero,2021,Rhapsody Of Fire,45,metal
Watcher In The Sky,IMPERA,2022,Ghost,54,metal
Let Me Leave,The Way It Ends,2020,Currents,60,metal
Crown of Horns,Invincible Shield (Deluxe Edition),2024,Judas Priest,46,metal
Nightmare,Fatalism,2023,Polaris,54,metal
Respite On The Spitalfields,IMPERA,2022,Ghost,54,metal
Descending,This Place Will Become Your Tomb,2021,Sleep Token,60,metal
Dreadnought,The War to End All Wars,2022,Sabaton,54,metal
Entertain You,Wireless,2023,Within Temptation,49,metal
Dirty Rotten Bizkit,STILL SUCKS,2021,Limp Bizkit,53,metal
Beast of Gévaudan,Call of the Wild (Deluxe Version),2021,Powerwolf,50,metal
Too Far Gone?,72 Seasons,2023,Metallica,48,metal
Cosmic Humility Interlude,Blüdhaven,2024,do not resurrect,59,metal
Born For One Thing,Fortitude,2021,Gojira,52,metal
The Other Son of Odin,Fimbulvinter,2024,Brothers of Metal,50,metal
MAD (feat. Ice Nine Kills),MAD (feat. Ice Nine Kills),2024,"TX2, Ice Nine Kills",58,metal
The Fight Within,Remade In Misery,2022,Memphis May Fire,54,metal
Nu Delhi,Nu Delhi,2024,Bloodywood,52,metal
Pain Remains III: In a Sea of Fire,Pain Remains,2022,Lorna Shore,56,metal
Spare Me,Vol. 3,2024,The Plot In You,59,metal
When The Darkness Comes,When The Darkness Comes,2023,Jeris Johnson,55,metal
Supreme Ruler,Exhibition Of Prowess,2024,Kublai Khan TX,57,metal
Come Undone,Finding God Before God Finds Me (Deluxe),2020,Bad Omens,54,metal
Blessed Be,Blessed Be,2020,Spiritbox,57,metal
guilt,EXCESSIVE GUILT,2024,thrown,56,metal
Erase Me,How To Survive A Funeral,2020,Make Them Suffer,57,metal
The Greatest Fear,Darker Still,2022,Parkway Drive,48,metal
Where Angels Fear to Fly,Circus Of Doom,2022,Battle Beast,47,metal
The Skeleton Key,Omega,2021,Epica,48,metal
Telomeres,This Place Will Become Your Tomb,2021,Sleep Token,59,metal
Brothers Unite,Emblas Saga,2020,Brothers of Metal,50,metal
Bleed Me Dry,Remade In Misery,2022,Memphis May Fire,55,metal
Inamorata,72 Seasons,2023,Metallica,47,metal
Tempest Of Blades,Circus Of Doom,2022,Battle Beast,45,metal
Armageddon,Circus Of Doom,2022,Battle Beast,46,metal
Adderall,"The End, So Far",2022,Slipknot,52,metal
Kid Of Darkness,Kid Of Darkness,2024,Slaughter to Prevail,52,metal
Hold Me Now,Lost Souls,2021,Caskets,56,metal
Explode,Explode,2020,"REDZED, ELIOZIE",57,metal
AfterLife,AfterLife,2022,Five Finger Death Punch,55,metal
Zenith,13 Commandments,2023,Ghost,52,metal
FATALITY,FATALITY,2024,Kill Dyll,46,metal
Obsolete,Echo,2021,Of Mice & Men,55,metal
Kaufmann und Maid,Kaufmann und Maid,2020,"Saltatio Mortis, Sasha, Feuerschwanz, Subway To Sally, Tanzwut, Schandmaul, dArtagnan, Patty Gurdy",52,metal
The Wheel,New World,2022,Imperial Age,45,metal
Numb,Meteora 20th Anniversary Edition,2023,Linkin Park,51,metal
Yakuza,Yakuza,2020,do not resurrect,57,metal
666 - World Divided,666 - World Divided,2020,Kreator,44,metal
Golden,Darkbloom,2022,We Came As Romans,56,metal
Parasite (feat. Zakk Wylde),Patient Number 9,2022,"Ozzy Osbourne, Zakk Wylde",52,metal
Colossus,Hunter Gatherer,2020,Avatar,45,metal
The Best Is yet to Come,Too Mean to Die,2021,Accept,47,metal
Keeper of the Celestial Flame of Abernethy,Return to the Kingdom of Fife,2023,Gloryhammer,48,metal
Hive Mind,"The End, So Far",2022,Slipknot,52,metal
Pizza Homicide,You're Hellcome,2023,"Samurai Pizza Cats, Nico Sallach, Electric Callboy",51,metal
Circle The Drain,Circle The Drain,2020,Machine Head,50,metal
Giving Blood,For Those That Wish To Exist,2021,Architects,51,metal
Calamity,Calamity,2023,Annisokay,53,metal
Mindreader,You're Welcome,2021,A Day To Remember,57,metal
Battling My Demons,Battling My Demons,2024,"Jeris Johnson, BOI WHAT",57,metal
Obey (with YUNGBLUD),Obey (with YUNGBLUD),2020,"Bring Me The Horizon, YUNGBLUD",52,metal
In The Dark,Foregone,2023,In Flames,49,metal
Perfume Of The Timeless,Yesterwynde,2024,Nightwish,49,metal
Our Time Is Now,Our Time Is Now,2022,Gojira,51,metal
Set You Free,Doom Crew Inc.,2021,Black Label Society,47,metal
Choke,TRUE POWER,2022,I Prevail,56,metal
Vultures of North,Descent,2023,Orbit Culture,52,metal
Make Me Famous,A Gradual Decline In Morale,2023,Kim Dracula,54,metal
Nightmare,Blackout,2023,From Ashes to New,54,metal
Monsters,The Way It Ends,2020,Currents,56,metal
Ritual,Ritual,2024,The Devil Wears Prada,56,metal
Heaven Shall Burn,The Black,2024,Imminence,52,metal
North Star of Nija,Nija,2020,Orbit Culture,53,metal
The Shower Scene,Welcome To Horrorwood: The Silver Scream 2,2021,Ice Nine Kills,58,metal
The Void,The Void,2024,Magnolia Park,50,metal
Inhumane,Fatalism,2023,Polaris,53,metal
[ost] (spi)ritual,POST HUMAN: NeX GEn,2024,Bring Me The Horizon,52,metal
Highway To Mars,Dark Connection,2021,Beast In Black,47,metal
Clockwork,Obsidian,2022,Northlane,52,metal
Blood Of The Elves,The God Machine,2022,Blind Guardian,43,metal
Miracle,Miracle,2022,A Day To Remember,55,metal
Blinding Ornaments,Technatura,2020,Vulkan,47,metal
Meet Me In Purgatory,One Assassination Under God - Chapter 1,2024,Marilyn Manson,47,metal
Sun//Eater,Pain Remains,2022,Lorna Shore,56,metal
The Gallows,The Gallows,2024,Black Label Society,46,metal
The Purge,Wireless,2023,Within Temptation,47,metal
Dee,Blizzard Of Ozz (40th Anniversary Expanded Edition),2020,Ozzy Osbourne,50,metal
Fear of the Fallen,Helloween,2021,Helloween,38,metal
State of Slow Decay,Foregone,2023,In Flames,49,metal
Phantom Of The Opera,Phantom Of The Opera,2023,Ghost,51,metal
Epitaph,Make Them Suffer,2024,Make Them Suffer,53,metal
Damnation Flame,The Catalyst,2024,Amaranthe,48,metal
Hellfighters,The War to End All Wars,2022,Sabaton,51,metal
Steal Away (The Night),Blizzard Of Ozz (40th Anniversary Expanded Edition),2020,Ozzy Osbourne,50,metal
Nod If You Understand,One Assassination Under God - Chapter 1,2024,Marilyn Manson,47,metal
Army of Stone,Warfront,2022,Wind Rose,47,metal
1984,1984,2022,Slaughter to Prevail,53,metal
Darkness Settles In,F8,2020,Five Finger Death Punch,56,metal
Drowning Hymns,What If I Break?,2023,Wind Walkers,59,metal
BUSINESS MAN (feat. Juicy J),BUSINESS MAN (feat. Juicy J),2023,"SXMPRA, Juicy J",47,metal
Gaddaar,Rakshak,2022,Bloodywood,51,metal
Breaking the Mirror,The Path,2020,Fit For A King,54,metal
Friendly Fire,Papercuts,2024,Linkin Park,50,metal
No Funeral Without Applause,One Assassination Under God - Chapter 1,2024,Marilyn Manson,47,metal
The Summoning,The Summoning,2023,Sleep Token,54,metal
Sleepwalk My Life Away,72 Seasons,2023,Metallica,47,metal
Straight to Hell,Ordinary Man,2020,Ozzy Osbourne,53,metal
Warranty,"The End, So Far",2022,Slipknot,51,metal
Father,Weapons Of The Modern Age,2022,Sabaton,53,metal
Melancholy Angel,Pirates,2022,Visions of Atlantis,49,metal
Bad Man - Kordhell Remix,Bad Man (Kordhell Remix),2023,"Disturbed, Kordhell",52,metal
I FEEL ALIVE,PSYCHX,2022,"Kordhell, Scarlxrd",54,metal
Twenties,IMPERA,2022,Ghost,52,metal
Distraction,This Place Will Become Your Tomb,2021,Sleep Token,59,metal
We're gonna be drinking (feat. Candice Night & Blackmore's Night),Felsenfest,2022,"dArtagnan, Candice Night, Blackmore's Night",45,metal
Vagabond,ANTI-ICON,2020,Ghostemane,53,metal
Nail To The Tooth,Fear & Dagger,2022,Paleface Swiss,53,metal
Vaas,Tian,2020,MAKAVELIGODD,61,metal
Menschenmühle,Die Urkatastrophe,2024,Kanonenfieber,50,metal
Meth Phonk,Drugs = Magic,2020,REDZED,58,metal
BIRTH OF VENUS,BIRTH OF VENUS,2023,Banshee,56,metal
The Chant,Fortitude,2021,Gojira,49,metal
Somewhere I Belong,Meteora 20th Anniversary Edition,2023,Linkin Park,52,metal
The Summoning,Vore,2023,Sleep Token,61,metal
Rollin' (Air Raid Vehicle),Rock Party 2021,2021,Limp Bizkit,53,metal
Doom Slayer,Doom Slayer,2023,Alex Terrible,51,metal
More Than I Could Chew,Hushed and Grim,2021,Mastodon,50,metal
Crying While You're Dancing,Dark Sun,2022,Dayseeker,57,metal
Loneliness,Dehumanizing Loneliness,2023,Decalius,54,metal
Dreamstate,Dark Sun,2022,Dayseeker,57,metal
"Deceiver, Deceiver",Deceivers,2022,Arch Enemy,46,metal
DEGENERATE,DEGENERATE,2024,STARSET,52,metal
Berzerkermode,Fegefeuer (Deluxe Version),2023,Feuerschwanz,47,metal
Times Like These,AfterLife,2022,Five Finger Death Punch,55,metal
Crystalline,Manifest,2020,Amaranthe,47,metal
He Has Returned,He Has Returned,2024,Gloryhammer,46,metal
New Evil,Daughters Of The Night,2022,Nocturna,44,metal
Room of Mirrors,72 Seasons,2023,Metallica,45,metal
Trink mein Freund,Felsenfest,2022,dArtagnan,45,metal
Hypermania,The Death of Me,2020,Polaris,53,metal
Somebody,Remade In Misery,2022,Memphis May Fire,56,metal
Strongest Of The Strong,Hate Über Alles,2022,Kreator,43,metal
Flawed Design,Flawed Design,2023,"ALESTI, Wind Walkers",53,metal
Exile Of The Gods,Exile Of The Gods,2022,Eluveitie,46,metal
Right Now,Right Now,2024,Our Mirage,49,metal
Back to the Rhythm,Force Majeure,2022,H.E.A.T,39,metal
Deliver Us From Evil,The God Machine,2022,Blind Guardian,43,metal
Chains of Destiny,Glory for Salvation,2021,Rhapsody Of Fire,42,metal
Days Of The Lost,Days Of The Lost,2022,The Halo Effect,45,metal
Black Hole,Black Hole,2021,"We Came As Romans, Caleb Shomo",51,metal
Zeit,Zeit,2022,Rammstein,51,metal
Mass Pollution,Helloween,2021,Helloween,36,metal
Death Is Not A Costume,One Assassination Under God - Chapter 1,2024,Marilyn Manson,46,metal
Swerve (feat. FEVER 333 & Sueco),Ego Trip,2022,"Papa Roach, FEVER 333, Sueco",53,metal
Death,Lost in the Waves (The Complete Edition),2022,"LANDMVRKS, DR€W ¥ORK",54,metal
Atonement,Melodies Of Atonement,2024,Leprous,45,metal
We'll Be Free,Animus,2022,Moonlight Haze,43,metal
AFRAID TO DIE (feat. Tatiana Shmayluk from Jinjer),AFRAID TO DIE,2023,"P.O.D., Tatiana Shmayluk, Jinjer",47,metal
Healing Foot,Meteora 20th Anniversary Edition,2023,Linkin Park,51,metal
Body Bag,TRUE POWER,2022,I Prevail,56,metal
Chain Breaker,Emblas Saga,2020,Brothers of Metal,48,metal
Zick Zack,Zick Zack,2022,Rammstein,52,metal
HALF-WAY & ONE STEP FORWARD,WE ARE CHAOS,2020,Marilyn Manson,47,metal
You Must Burn!,72 Seasons,2023,Metallica,47,metal
Headless Cross - 2024 Remaster,Headless Cross (2024 Remaster),2024,Black Sabbath,46,metal
06,SAMPLE20,2021,Tommy Jacob,0,rap
Lullaby,Game Man,2020,Blezz,0,rap
Energy - Radio Edit,Energy (Radio Edit),2024,"Hustle Gang, ALEYAJAY",0,rap
We Are,We Are,2021,Faiyabrand,0,rap
Beethoven,Fresh Rap,2022,Kenndog,0,rap
Talk Facts,Project Baby,2022,Kari,0,rap
FeetWork,H.O.G,2021,"Courtside, 2whop",0,rap
Beethoven,Internet Rap Hits,2022,Kenndog,0,rap
See You Again,Rap Nonstop,2022,"Wiz Khalifa, Charlie Puth",0,rap
Beethoven,Rap Nonstop,2022,Kenndog,0,rap
Battle Scars,Big Stage Hip Hop,2022,"Lupe Fiasco, Guy Sebastian",0,rap
Lifeboat Protocol,Quantum Break,2023,Lil Gohan,0,rap
