track,album,release_year,artists,popularity,genre
United Nations Stomp,Where Do We Go From Here,2021,"Dumpstaphunk, Marcus King",39,blues
Colours Start To Run,Shining in the Half Light,2022,Elles Bailey,37,blues
Spiraling,Spiraling,2023,Danielle Ponder,37,blues
Gone Without Goodbye,Boots & Blues,2024,Lance and Lea,38,blues
Falls Away,Remain,2022,Bywater Call,33,blues
Poor Boy a Long Way From Home,Delta Kream,2021,The Black Keys,40,blues
Good Times,Closer,2024,AJ Fullerton,39,blues
Hot Love,Relaxing Blues,2024,Shen Lab,40,blues
Father in a Bible,Father in a Bible,2024,Jonas Conner,54,blues
Foolin' Ourselves,West on I-10,2023,Evan Honer,60,blues
It Hurt So Bad,Just Won't Burn (25th Anniversary Deluxe Edition),2023,Susan Tedeschi,43,blues
These Days,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,35,blues
Boss Man,Red Moon Rising (Deluxe Edition),2024,Robert Jon & the Wreck,34,blues
Real Gone,Real Gone,2023,Ally Venable,35,blues
Led Me To You,Boots & Blues,2024,Lance and Lea,36,blues
Mind’s Eye,Time Clocks,2021,Joe Bonamassa,39,blues
Dance Monkey,Dance Monkey,2020,"Bette Smith, Kirk Fletcher",31,blues
Shake You Off,Restless,2024,The Commoners,35,blues
How Low Can You Go,"The Amogla Sessions, Vol. 1",2022,Floyd Lee & His Mean Blues Band,36,blues
Pride And Joy - Remastered 2024,In Session (Deluxe Edition / Remastered 2024),2024,"Albert King, Stevie Ray Vaughan",38,blues
It's OK,It's OK,2023,Chuck Adams,40,blues
The Way I Am,Restless,2024,The Commoners,36,blues
That's Why I'm Crying,Open Road,2021,Colin James,30,blues
Scars,Smith/Kotzen,2021,"Smith/Kotzen, Adrian Smith, Richie Kotzen",36,blues
Sass,Strummin',2024,Brothers Moving,39,blues
Liar,Liar,2023,Sons Of Atticus,38,blues
Slow Tunes,Whiskey Blues,2023,"Gary Tunes, Eric Blues, Red Whiskey, Ricardo Tunes",38,blues
Can't Find A Good Reason,Raisin' Cain,2021,Chris Cain,35,blues
Save My Soul,Save My Soul,2023,"Gary Tunes, Eric Blues, Red Whiskey, Ricardo Tunes",39,blues
Weight of the World,Soldiers,2024,"Texas Hill, Adam Wakefield",37,blues
Woman's Woman,Reckoners,2024,Reckoners,36,blues
Fool (Live),Fool (Live),2023,Laura Evans,34,blues
Bottom Cycle Blues,Bottom Cycle Blues,2020,Raul Midón,32,blues
Solamente,Una Más E.P.,2020,Nancarrow,29,blues
Hound Dog,ELVIS (Original Motion Picture Soundtrack),2022,Shonka Dukureh,36,blues
Bonnie,Scoundrel,2022,Sam Burchfield,32,blues
Devotion,Devotion,2024,"Honeybear, the Band",29,blues
Slamming The Door,Raise Your Hand,2021,Mike Andersen,35,blues
Walking Back Home,Laughing No More,2023,"Eric Blues, Lost in Blues, Blues Whiskey",39,blues
I Hope Somebody's Loving You,Son of a Broken Man,2024,Fantastic Negrito,29,blues
Winner (When it Comes to Losing),Muscle Shoals,2024,DeWolff,34,blues
Your Heart Is as Black as Night,Signature,2022,Sylvia Brooks,35,blues
Summer Night Blues,Summer Night Blues,2020,OdinMann,38,blues
Savior With A Razor (feat. Slash),You Still Got Me,2024,"Beth Hart, Slash",38,blues
Whiskey and Lady,Slow Blues,2023,"Lost in Blues, Sime Tunes, Blues Whiskey, Night Tunes",40,blues
Papa Was A Rolling Stone feat. Demi Lovato,Orgy of the Damned,2024,"Slash, Demi Lovato",37,blues
For the Love of Money,Dropout Boogie,2022,The Black Keys,38,blues
Human,Reckless Blues,2020,Joanne Shaw Taylor,35,blues
Clap Yo Hands and Moan,Hold on to Love,2022,Shakura S'Aida,32,blues
Sticks and Stones,Unreleased,2020,Oli Brown,35,blues
Everybody Knows,Shepherd,2024,Bywater Call,32,blues
Read Em And Weep,Ohio Players (Trophy Edition),2024,The Black Keys,33,blues
Sweet Love,Sweet Love,2024,The Vintage Explosion,39,blues
Call It Stormy Monday - Remastered 2024,In Session (Deluxe Edition / Remastered 2024),2024,"Albert King, Stevie Ray Vaughan",39,blues
Blue,The Long Road,2023,Jacquelyn Baxter,35,blues
Wonderful World,You Still Got Me,2024,Beth Hart,38,blues
All Worked Out,All Worked Out,2023,Bryan Elijah Smith,43,blues
He's Got the Whole World In His Hands,Love Me Or Leave,2023,Nina Simone,29,blues
"Rain - Live At Red Rocks, 2023","Rain (Live At Red Rocks, 2023)",2023,The Teskey Brothers,33,blues
Texas Louisiana,Real Gone,2023,"Ally Venable, Buddy Guy",34,blues
Crazy Girl,Dark Songs,2020,Steinar Ytrehus,32,blues
Money Makes You Ugly,Uncivil War,2020,Shemekia Copeland,31,blues
Cheats and Liars,Shining in the Half Light,2022,Elles Bailey,36,blues
People Get Ready,People Get Ready,2021,Joe Robinson,34,blues
Damn Shame,part 2,2024,Nathan Bess,50,blues
Desert Blues,"Guitar Improvisation, Vol. 2",2024,Noah Beatz,35,blues
Makin' Me Live,Catfish Cake,2020,Rob Tognoni,36,blues
Moonhangin Man,Moonhangin Man,2022,Guus,25,blues
Heartless,Scholl We ?,2021,Couleur d'opium,26,blues
Hit 'Em Back,Hit 'Em Back,2021,"Shemekia Copeland, Kenny Wayne Shepherd, Robert Randolph, Tony Coleman",38,blues
All My Life,The Invisible Man,2024,Davy Knowles,34,blues
Pompous Fool,Meanwhile,2024,Eric Clapton,34,blues
Don't Let Me Go,Ohio Players (Trophy Edition),2024,The Black Keys,33,blues
Wallflower,Wallflower,2023,Re:um,39,blues
Lone Star Blues,Brother Johnny,2022,"Edgar Winter, Keb' Mo'",29,blues
The Way,The Way,2022,Amanda Ventura,36,blues
Love or Magic,Love / Magic,2022,Shaun Munday,32,blues
Mississippi,Plug It In,2023,Mitch Grainger,34,blues
Rolling Stone Blues,Hackney Diamonds,2023,The Rolling Stones,36,blues
Waiting For Change,From The Start,2024,Marcus Trummer,33,blues
"Whisky, Gin & Wine",The Shadow,2020,Blues Cousins,34,blues
Ain't No Fool,Late Night Blues,2023,"Gary Tunes, Eric Blues, Red Whiskey, Ricardo Tunes",38,blues
Back Into The Rain,Back Into The Rain,2024,Rebel Road,36,blues
I Want You - Remastered,Giving You Do-Wop! (Remastered),2021,The Cadets,29,blues
South Wind Blows,In the Name of the Blues,2024,Eva Carboni,33,blues
The Heart That Never Waits (Live),Tales Of Time (Live),2023,Joe Bonamassa,37,blues
Gold,Last Light on the Highway,2020,Robert Jon & the Wreck,33,blues
My Sweet Hunk O' Trash - Single Version,Louis and Friends,2022,"Louis Armstrong, Billie Holiday, Sy Oliver & His Orchestra",34,blues
